"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jan 15 10:40:15 CST 2026","Thu Jan 15 10:40:17 CST 2026","1594","script.v1_6_2","test_audio_send_asr","","","","测试duration为0","
    发送语音消息
    "
"passed","Thu Jan 15 10:40:21 CST 2026","Thu Jan 15 10:40:24 CST 2026","2435","script.v1_6_2","test_audio_send_asr","","","","语音转文字成功","
    在发送消息
    "
"passed","Thu Jan 15 10:41:46 CST 2026","Thu Jan 15 10:41:47 CST 2026","1636","script.v1_6_2","test_notify_push","","","","测试通知type为100","
    发送语音消息
    "
"passed","Thu Jan 15 10:41:41 CST 2026","Thu Jan 15 10:41:43 CST 2026","1595","script.v1_6_2","test_notify_push","","","","测试通知消息为自定义","
    发送语音消息
    "
"passed","Thu Jan 15 10:40:06 CST 2026","Thu Jan 15 10:40:07 CST 2026","1326","script.v1_6_2","test_audio_send_asr","","","","测试content为非url","
    发送语音消息
    "
"passed","Thu Jan 15 10:40:11 CST 2026","Thu Jan 15 10:40:13 CST 2026","2775","script.v1_6_2","test_audio_send_asr","","","","测试duration为10000","
    发送语音消息
    "
"passed","Thu Jan 15 10:39:53 CST 2026","Thu Jan 15 10:39:55 CST 2026","2168","script.v1_6_2","test_audio_send_asr","","","","测试参数均正确的情况-其他语言","
    发送语音消息
    "
"passed","Thu Jan 15 10:41:47 CST 2026","Thu Jan 15 10:41:49 CST 2026","1590","script.v1_6_2","test_notify_push","","","","测试通知type为0","
    发送语音消息
    "
"passed","Thu Jan 15 10:41:49 CST 2026","Thu Jan 15 10:41:51 CST 2026","1604","script.v1_6_2","test_notify_push","","","","测试通知type为11","
    发送语音消息
    "
"passed","Thu Jan 15 10:40:07 CST 2026","Thu Jan 15 10:40:08 CST 2026","1315","script.v1_6_2","test_audio_send_asr","","","","测试content为空","
    发送语音消息
    "
"passed","Thu Jan 15 10:41:40 CST 2026","Thu Jan 15 10:41:41 CST 2026","1316","script.v1_6_2","test_notify_push","","","","测试通知消息为系统消息","
    发送语音消息
    "
"passed","Thu Jan 15 10:41:25 CST 2026","Thu Jan 15 10:41:28 CST 2026","2026","script.v1_6_2","test_notify_push","","","","发送通知消息-联盟群","
    在发送消息
    "
"passed","Thu Jan 15 10:39:45 CST 2026","Thu Jan 15 10:39:48 CST 2026","2647","script.v1_6_2","test_audio_send_asr","","","","语音消息发送-私聊","
    在发送消息
    "
"passed","Thu Jan 15 10:40:08 CST 2026","Thu Jan 15 10:40:10 CST 2026","1309","script.v1_6_2","test_audio_send_asr","","","","测试content为空格","
    发送语音消息
    "
"passed","Thu Jan 15 10:39:50 CST 2026","Thu Jan 15 10:39:53 CST 2026","2652","script.v1_6_2","test_audio_send_asr","","","","测试参数均正确的情况","
    发送语音消息
    "
"passed","Thu Jan 15 10:41:19 CST 2026","Thu Jan 15 10:41:22 CST 2026","3349","script.v1_6_2","test_audio_send_asr","","","","拉取会话消息-世界群","
    测试拉取会话
    "
"passed","Thu Jan 15 10:42:07 CST 2026","Thu Jan 15 10:42:10 CST 2026","3337","script.v1_6_2","test_notify_push","","","","拉取会话消息-世界群","
    测试拉取会话
    "
"passed","Thu Jan 15 10:41:38 CST 2026","Thu Jan 15 10:41:40 CST 2026","1609","script.v1_6_2","test_notify_push","","","","测试通知消息为富文本","
    发送语音消息
    "
"passed","Thu Jan 15 10:40:01 CST 2026","Thu Jan 15 10:40:03 CST 2026","2790","script.v1_6_2","test_audio_send_asr","","","","测试content为格式不正确","
    发送语音消息
    "
"passed","Thu Jan 15 10:40:37 CST 2026","Thu Jan 15 10:40:38 CST 2026","1284","script.v1_6_2","test_audio_send_asr","","","","测试url为非url","
    测试语音转文字
    "
"passed","Thu Jan 15 10:40:38 CST 2026","Thu Jan 15 10:40:40 CST 2026","1302","script.v1_6_2","test_audio_send_asr","","","","测试url为空","
    测试语音转文字
    "
"passed","Thu Jan 15 10:42:14 CST 2026","Thu Jan 15 10:42:14 CST 2026","314","script.v1_6_2","test_notify_push","","","","标记频道消息已读位置成功","
    标记频道消息已读位置
    "
"passed","Thu Jan 15 10:40:29 CST 2026","Thu Jan 15 10:40:30 CST 2026","1701","script.v1_6_2","test_audio_send_asr","","","","测试参数均正确的情况-较短","
    测试语音转文字
    "
"passed","Thu Jan 15 10:40:30 CST 2026","Thu Jan 15 10:40:33 CST 2026","2090","script.v1_6_2","test_audio_send_asr","","","","测试url为敏感语音","
    测试语音转文字
    "
"passed","Thu Jan 15 10:41:06 CST 2026","Thu Jan 15 10:41:08 CST 2026","2284","script.v1_6_2","test_audio_send_asr","","","","获取频道列表-语音消息校验","
    获取频道列表成功
    "
"passed","Thu Jan 15 10:40:03 CST 2026","Thu Jan 15 10:40:06 CST 2026","2159","script.v1_6_2","test_audio_send_asr","","","","测试content为url错误","
    发送语音消息
    "
"passed","Thu Jan 15 10:41:51 CST 2026","Thu Jan 15 10:41:51 CST 2026","268","script.v1_6_2","test_notify_push","","","","测试通知type为None","
    发送语音消息
    "
"passed","Thu Jan 15 10:42:04 CST 2026","Thu Jan 15 10:42:07 CST 2026","3328","script.v1_6_2","test_notify_push","","","","拉取会话消息-自建群","
    测试拉取会话
    "
"passed","Thu Jan 15 10:40:40 CST 2026","Thu Jan 15 10:40:41 CST 2026","1254","script.v1_6_2","test_audio_send_asr","","","","测试url为空格","
    测试语音转文字
    "
"passed","Thu Jan 15 10:41:37 CST 2026","Thu Jan 15 10:41:38 CST 2026","1625","script.v1_6_2","test_notify_push","","","","测试通知消息为图片","
    发送语音消息
    "
"passed","Thu Jan 15 10:41:43 CST 2026","Thu Jan 15 10:41:44 CST 2026","1354","script.v1_6_2","test_notify_push","","","","测试通知消息为表情","
    发送语音消息
    "
"passed","Thu Jan 15 10:39:48 CST 2026","Thu Jan 15 10:39:50 CST 2026","2623","script.v1_6_2","test_audio_send_asr","","","","语音消息发送-自建群","
    在发送消息
    "
"passed","Thu Jan 15 10:41:12 CST 2026","Thu Jan 15 10:41:15 CST 2026","3349","script.v1_6_2","test_audio_send_asr","","","","拉取会话消息-私聊","
    测试拉取会话
    "
"passed","Thu Jan 15 10:41:44 CST 2026","Thu Jan 15 10:41:46 CST 2026","1343","script.v1_6_2","test_notify_push","","","","测试通知消息为错误","
    发送语音消息
    "
"passed","Thu Jan 15 10:40:41 CST 2026","Thu Jan 15 10:40:41 CST 2026","221","script.v1_6_2","test_audio_send_asr","","","","测试url类型错误","
    测试语音转文字
    "
"passed","Thu Jan 15 10:40:26 CST 2026","Thu Jan 15 10:40:29 CST 2026","2539","script.v1_6_2","test_audio_send_asr","","","","测试参数均正确的情况-其他语言","
    测试语音转文字
    "
"passed","Thu Jan 15 10:41:55 CST 2026","Thu Jan 15 10:41:57 CST 2026","2322","script.v1_6_2","test_notify_push","","","","获取频道列表-语音消息校验","
    获取频道列表成功
    "
"passed","Thu Jan 15 10:40:33 CST 2026","Thu Jan 15 10:40:35 CST 2026","2261","script.v1_6_2","test_audio_send_asr","","","","测试url为格式不正确","
    测试语音转文字
    "
"passed","Thu Jan 15 10:41:51 CST 2026","Thu Jan 15 10:41:53 CST 2026","1605","script.v1_6_2","test_notify_push","","","","测试通知type为-1","
    发送语音消息
    "
